2026-03-24 20:20:20,893 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 20:20:20,894 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 20:20:20,894 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 20:20:20,895 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-03-24 20:20:20,895 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-03-24 20:20:20,895 | INFO | apscheduler.scheduler | Added job "make_db_backup" to job store "default"
2026-03-24 20:20:20,903 | INFO | apscheduler.scheduler | Scheduler started
2026-03-24 20:20:33,717 | ERROR | asyncio | Unclosed client session
client_session: <aiohttp.client.ClientSession object at 0x0000021D13A952B0>
2026-03-24 20:24:41,987 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 20:24:41,987 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 20:24:41,987 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 20:24:41,988 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-03-24 20:24:41,988 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-03-24 20:24:41,989 | INFO | apscheduler.scheduler | Added job "make_db_backup" to job store "default"
2026-03-24 20:24:41,989 | INFO | apscheduler.scheduler | Scheduler started
2026-03-24 20:24:54,019 | ERROR | asyncio | Unclosed client session
client_session: <aiohttp.client.ClientSession object at 0x00000191A4D28C20>
2026-03-24 20:29:18,570 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 20:29:18,571 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 20:29:18,571 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 20:29:18,572 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-03-24 20:29:18,572 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-03-24 20:29:18,572 | INFO | apscheduler.scheduler | Added job "make_db_backup" to job store "default"
2026-03-24 20:29:18,572 | INFO | apscheduler.scheduler | Scheduler started
2026-03-24 20:29:41,681 | ERROR | asyncio | Unclosed client session
client_session: <aiohttp.client.ClientSession object at 0x000002DC55988D70>
2026-03-24 20:37:05,431 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 20:37:05,431 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
